variable,bin,n,suppression_rate
heat_index_f,"(0, 40]",2867,0.1740495291245204
heat_index_f,"(40, 55]",6455,0.08830364058869093
heat_index_f,"(55, 70]",6420,0.0381619937694704
heat_index_f,"(70, 80]",5079,0.0291395944083481
heat_index_f,"(80, 90]",2402,0.0016652789342214821
heat_index_f,"(90, 130]",1131,0.0
aqi,"(0, 50]",13733,0.07696788757008666
aqi,"(50, 75]",9065,0.04180915609487038
aqi,"(75, 100]",1099,0.01637852593266606
aqi,"(100, 150]",388,0.028350515463917526
aqi,"(150, 400]",69,0.014492753623188406
