ts_utc,rides_member,rides_casual,rides_total,temp_f,humidity,wind_mph,visibility_mi,precip_in,smoke_haze,ts_local,date,aqi,hour,dow,month,year,daytype,season,hour_sin,hour_cos,is_weekend,heat_index_f,cold_stress,heat_stress,expected_rides,active_hour,suppressed
2022-01-01 05:00:00,63,125,188,55.0,89.33333333333333,5.0,5.666666666666667,0.0,0,2022-01-01 00:00:00,2022-01-01,54,0,5,1,2022,weekend,winter,0.0,1.0,1,55.0,0.0,0.0,104.62963373391956,True,0
2022-01-01 06:00:00,79,122,201,54.5,91.5,7.0,4.865,0.0,0,2022-01-01 01:00:00,2022-01-01,54,1,5,1,2022,weekend,winter,0.25881904510252074,0.9659258262890683,1,54.5,0.5,0.0,75.29831381687934,True,0
2022-01-01 07:00:00,58,98,156,56.0,90.0,6.0,6.0,0.0,0,2022-01-01 02:00:00,2022-01-01,54,2,5,1,2022,weekend,winter,0.49999999999999994,0.8660254037844387,1,56.0,0.0,0.0,49.03146015982841,True,0
2022-01-01 08:00:00,22,28,50,56.0,90.0,7.0,6.0,0.0,0,2022-01-01 03:00:00,2022-01-01,54,3,5,1,2022,weekend,winter,0.7071067811865475,0.7071067811865476,1,56.0,0.0,0.0,23.64016829134584,True,0
2022-01-01 09:00:00,9,23,32,55.333333333333336,92.33333333333333,7.0,4.53,0.0,0,2022-01-01 04:00:00,2022-01-01,54,4,5,1,2022,weekend,winter,0.8660254037844386,0.5000000000000001,1,55.333333333333336,0.0,0.0,10.944522357104557,False,0
2022-01-01 10:00:00,16,14,30,57.0,90.0,5.5,4.5,0.0,0,2022-01-01 05:00:00,2022-01-01,54,5,5,1,2022,weekend,winter,0.9659258262890683,0.25881904510252074,1,57.0,0.0,0.0,14.008988617093832,False,0
2022-01-01 11:00:00,22,11,33,57.0,90.0,5.0,5.0,0.01,0,2022-01-01 06:00:00,2022-01-01,54,6,5,1,2022,weekend,winter,1.0,6.123233995736766e-17,1,57.0,0.0,0.0,30.644662599892758,True,0
2022-01-01 12:00:00,11,6,17,56.333333333333336,92.0,6.666666666666667,4.323333333333333,0.04,0,2022-01-01 07:00:00,2022-01-01,54,7,5,1,2022,weekend,winter,0.9659258262890683,-0.25881904510252063,1,56.333333333333336,0.0,0.0,59.100420728364604,True,1
2022-01-01 13:00:00,18,9,27,56.75,91.5,7.0,1.9375,0.06,0,2022-01-01 08:00:00,2022-01-01,54,8,5,1,2022,weekend,winter,0.8660254037844387,-0.49999999999999983,1,56.75,0.0,0.0,117.76306056244503,True,1
2022-01-01 14:00:00,25,5,30,58.0,93.0,3.0,2.0,0.06,0,2022-01-01 09:00:00,2022-01-01,54,9,5,1,2022,weekend,winter,0.7071067811865476,-0.7071067811865475,1,58.0,0.0,0.0,223.70603697921715,True,1
2022-01-01 15:00:00,34,18,52,58.0,92.33333333333333,3.6666666666666665,1.9966666666666668,0.11,0,2022-01-01 10:00:00,2022-01-01,54,10,5,1,2022,weekend,winter,0.49999999999999994,-0.8660254037844387,1,58.0,0.0,0.0,308.6355304703485,True,1
2022-01-01 16:00:00,37,23,60,58.0,93.0,0.0,1.0,0.07,0,2022-01-01 11:00:00,2022-01-01,54,11,5,1,2022,weekend,winter,0.258819045102521,-0.9659258262890682,1,58.0,0.0,0.0,369.04929388156563,True,1
2022-01-01 17:00:00,69,35,104,59.0,93.0,0.0,1.5,0.01,0,2022-01-01 12:00:00,2022-01-01,54,12,5,1,2022,weekend,winter,1.2246467991473532e-16,-1.0,1,59.0,0.0,0.0,432.5275235527721,True,1
2022-01-01 18:00:00,98,82,180,60.0,93.0,0.0,3.995,0.0,0,2022-01-01 13:00:00,2022-01-01,54,13,5,1,2022,weekend,winter,-0.2588190451025208,-0.9659258262890683,1,60.0,0.0,0.0,463.17218615266484,True,1
2022-01-01 19:00:00,138,168,306,61.0,91.0,1.0,8.333333333333334,0.0,0,2022-01-01 14:00:00,2022-01-01,54,14,5,1,2022,weekend,winter,-0.4999999999999998,-0.8660254037844388,1,61.0,0.0,0.0,420.269658512815,True,0
